fold,user_id
1,948
1,542
1,1210
1,1429
1,222
1,411
1,483
1,291
1,1560
1,865
1,676
1,309
1,1530
1,442
1,271
1,300
1,109
1,879
1,1418
1,1392
1,1166
1,97
1,1519
1,1224
1,768
1,1001
1,1273
1,997
1,498
1,49
1,1052
1,473
1,754
1,1332
1,1395
1,549
1,609
1,390
1,92
1,836
1,77
1,1151
1,213
1,1172
1,794
1,423
1,432
1,1213
1,1021
1,1182
1,386
1,785
1,638
1,649
1,372
1,258
1,972
1,1088
1,1061
1,770
1,1043
1,742
1,403
1,10
1,90
1,206
1,191
1,14
1,511
1,327
1,1374
1,604
1,1282
1,1003
1,1049
1,105
1,1163
1,268
1,438
1,1190
1,1215
1,454
1,1177
1,89
1,902
1,945
1,1304
1,1288
1,606
1,1375
1,343
1,1343
1,777
1,290
1,165
1,55
1,674
1,766
1,876
1,131
1,1047
1,426
1,752
1,400
1,702
1,190
1,1152
1,502
1,912
1,1488
1,1164
1,108
1,142
1,162
1,608
1,981
1,1073
1,992
1,1216
1,106
1,1330
1,199
1,1445
1,696
1,1384
1,1430
1,559
1,587
1,1364
1,1325
1,1497
1,1277
1,243
1,358
1,918
1,810
1,800
1,88
1,1443
1,903
1,1106
1,352
1,399
1,196
1,11
1,978
1,435
1,1340
1,1140
1,197
1,1124
1,1566
1,914
1,486
1,842
2,1217
2,854
2,135
2,356
2,989
2,1117
2,613
2,314
2,1448
2,1162
2,1199
2,40
2,531
2,216
2,54
2,283
2,717
2,1130
2,439
2,1193
2,1040
2,1552
2,1160
2,1007
2,1008
2,1116
2,446
2,1232
2,118
2,899
2,1508
2,593
2,1206
2,704
2,942
2,1254
2,451
2,507
2,600
2,232
2,920
2,567
2,484
2,1207
2,9
2,371
2,391
2,1373
2,588
2,347
2,62
2,362
2,499
2,951
2,215
2,1276
2,1176
2,1235
2,87
2,1506
2,1439
2,1027
2,37
2,984
2,686
2,460
2,1525
2,1551
2,758
2,298
2,550
2,1294
2,1173
2,806
2,1359
2,481
2,895
2,950
2,1079
2,1313
2,835
2,1507
2,1122
2,941
2,172
2,494
2,1528
2,658
2,287
2,1455
2,1339
2,1377
2,1469
2,127
2,328
2,1382
2,959
2,622
2,140
2,1103
2,751
2,59
2,312
2,205
2,1290
2,1093
2,1131
2,672
2,845
2,925
2,441
2,1523
2,1410
2,466
2,462
2,1349
2,47
2,602
2,5
2,1046
2,1541
2,299
2,310
2,852
2,1178
2,1401
2,798
2,253
2,1034
2,860
2,1257
2,824
2,242
2,620
2,793
2,656
2,1309
2,1532
2,1571
2,1531
2,4
2,640
2,276
2,139
2,808
2,154
2,285
2,141
2,436
2,1510
2,639
2,988
2,787
2,1286
2,1521
3,366
3,1370
3,833
3,519
3,1533
3,188
3,1471
3,231
3,500
3,360
3,953
3,1221
3,915
3,1218
3,521
3,753
3,960
3,1261
3,756
3,710
3,1264
3,376
3,789
3,217
3,114
3,1174
3,1197
3,1270
3,31
3,277
3,472
3,208
3,495
3,396
3,830
3,1129
3,554
3,445
3,226
3,576
3,966
3,117
3,421
3,1211
3,1099
3,1345
3,546
3,936
3,544
3,877
3,547
3,282
3,937
3,1335
3,1127
3,690
3,1095
3,1452
3,517
3,46
3,373
3,200
3,369
3,771
3,905
3,861
3,246
3,530
3,13
3,1020
3,1022
3,1198
3,307
3,1441
3,1004
3,254
3,650
3,1371
3,675
3,619
3,722
3,1358
3,479
3,701
3,630
3,999
3,1012
3,126
3,398
3,1503
3,1535
3,170
3,520
3,280
3,470
3,683
3,1075
3,1194
3,862
3,1048
3,1396
3,1475
3,173
3,745
3,775
3,33
3,1002
3,1157
3,1515
3,1138
3,1006
3,81
3,1278
3,1214
3,1228
3,536
3,182
3,1196
3,1050
3,913
3,251
3,82
3,1366
3,1380
3,413
3,1319
3,1062
3,25
3,1485
3,688
3,214
3,326
3,677
3,350
3,1248
3,716
3,955
3,1141
3,279
3,504
3,881
3,551
3,872
3,545
3,211
3,1096
3,1192
3,56
3,540
3,1297
3,1412
3,664
3,1281
3,555
4,1243
4,871
4,477
4,1284
4,762
4,940
4,463
4,993
4,878
4,1461
4,325
4,1327
4,450
4,741
4,1389
4,237
4,1449
4,1287
4,348
4,121
4,338
4,578
4,1558
4,1081
4,1489
4,275
4,19
4,1170
4,943
4,970
4,1460
4,1568
4,1407
4,1119
4,634
4,447
4,221
4,1112
4,919
4,304
4,375
4,297
4,1308
4,977
4,204
4,96
4,120
4,582
4,239
4,84
4,569
4,342
4,1329
4,1324
4,1483
4,227
4,1454
4,330
4,911
4,1501
4,1365
4,641
4,1459
4,1555
4,332
4,202
4,1356
4,1225
4,363
4,58
4,828
4,1307
4,843
4,732
4,708
4,1246
4,1540
4,1205
4,1563
4,503
4,1036
4,994
4,1423
4,1537
4,161
4,680
4,1108
4,7
4,1292
4,509
4,723
4,418
4,1369
4,1338
4,361
4,882
4,79
4,1055
4,1271
4,344
4,791
4,1567
4,928
4,724
4,1518
4,1538
4,1409
4,321
4,1180
4,306
4,333
4,1231
4,817
4,122
4,1342
4,210
4,1070
4,1397
4,146
4,1415
4,1310
4,621
4,934
4,774
4,886
4,599
4,1259
4,286
4,804
4,66
4,1239
4,565
4,682
4,115
4,270
4,1394
4,257
4,1438
4,1009
4,892
4,467
4,823
4,525
4,394
4,772
4,1132
4,1153
4,797
4,220
4,1317
4,302
4,679
4,598
4,643
5,176
5,1092
5,529
5,605
5,68
5,1233
5,456
5,41
5,384
5,3
5,1398
5,628
5,859
5,1300
5,1569
5,76
5,429
5,36
5,1272
5,926
5,29
5,181
5,103
5,1440
5,1080
5,1226
5,266
5,224
5,1025
5,422
5,522
5,1481
5,431
5,1376
5,589
5,699
5,434
5,490
5,1447
5,1241
5,1299
5,1464
5,931
5,1534
5,1542
5,164
5,737
5,392
5,765
5,405
5,1171
5,651
5,607
5,557
5,1524
5,143
5,747
5,1097
5,130
5,340
5,281
5,946
5,150
5,1434
5,235
5,1543
5,635
5,335
5,1361
5,1379
5,715
5,869
5,86
5,595
5,1422
5,819
5,1453
5,27
5,39
5,681
5,1500
5,1209
5,377
5,642
5,157
5,764
5,813
5,944
5,1065
